src	trg	weight	src_type	trg_type	edge_type
288	2050	0.9992	1	4	1#4
2224	4625	0.9986	4	3	3#4
1264	3044	0.9979	2	3	2#3
1379	4995	0.9978	2	3	2#3
1052	1907	0.9971	5	3	3#5
5584	6969	0.9968	4	4	4#4
4797	9804	0.9958	2	2	2#2
4280	4745	0.9948	2	4	2#4
2432	8925	0.9948	1	1	1#1
1505	9579	0.9932	5	5	5#5
1154	3309	0.9931	3	1	1#3
5435	6150	0.9930	1	3	1#3
4741	7303	0.9926	4	1	1#4
5517	6640	0.9925	2	1	1#2
2362	3307	0.9925	4	1	1#4
1510	1971	0.9917	2	4	2#4
4782	6473	0.9916	1	2	1#2
584	2823	0.9914	5	3	3#5
6029	8474	0.9913	5	2	2#5
5157	5161	0.9900	2	3	2#3
6553	6778	0.9900	5	3	3#5
60	1451	0.9900	1	3	1#3
7705	9916	0.9900	3	5	3#5
3805	8809	0.9900	2	5	2#5
6651	7217	0.9900	2	3	2#3
3395	9916	0.9900	3	5	3#5
268	1437	0.9900	3	3	3#3
1152	3027	0.9900	3	3	3#3
5637	5714	0.9900	1	3	1#3
938	4072	0.9900	1	5	1#5
99	5611	0.9900	3	2	2#3
1260	7672	0.9900	2	3	2#3
5003	5904	0.9900	1	1	1#1
5285	6098	0.9900	3	4	3#4
1652	4102	0.9900	4	3	3#4
953	6098	0.9900	2	4	2#4
938	949	0.9900	1	4	1#4
816	3158	0.9900	1	2	1#2
840	3302	0.9900	2	5	2#5
3075	3293	0.9900	4	4	4#4
215	5293	0.9900	1	5	1#5
1202	5216	0.9900	2	3	2#3
757	1384	0.9900	2	5	2#5
938	1909	0.9900	1	5	1#5
3179	4560	0.9900	4	5	4#5
2657	2979	0.9900	1	2	1#2
1304	6696	0.9900	4	5	4#5
2111	9631	0.9900	2	5	2#5
1103	8444	0.9900	2	5	2#5
411	7277	0.9900	1	4	1#4
7507	8208	0.9900	4	2	2#4
5413	7816	0.9900	3	3	3#3
3489	4975	0.9900	5	4	4#5
1407	3760	0.9900	2	3	2#3
7900	8762	0.9900	2	1	1#2
3316	3511	0.9900	5	3	3#5
6958	8762	0.9900	2	1	1#2
47	1922	0.9900	4	5	4#5
2193	5509	0.9900	4	3	3#4
3288	3676	0.9900	5	5	5#5
5953	7826	0.9900	5	3	3#5
3345	4599	0.9900	4	4	4#4
6719	7826	0.9900	3	3	3#3
2776	4367	0.9900	5	1	1#5
5723	6348	0.9900	4	1	1#4
12	4623	0.9900	2	5	2#5
5053	5225	0.9900	4	4	4#4
7677	8536	0.9900	1	2	1#2
2545	7551	0.9900	2	5	2#5
2359	6379	0.9900	4	5	4#5
7702	8634	0.9900	3	3	3#3
860	1021	0.9900	2	2	2#2
2252	8811	0.9900	3	2	2#3
609	9095	0.9900	2	2	2#2
5365	6266	0.9900	2	5	2#5
5241	7643	0.9900	5	2	2#5
573	2976	0.9900	5	4	4#5
688	3150	0.9900	5	1	1#5
1465	1780	0.9900	3	1	1#3
1889	5713	0.9900	3	4	3#4
1816	2429	0.9900	4	5	4#5
5001	5171	0.9900	5	3	3#5
5085	6618	0.9900	4	5	4#5
2686	4122	0.9900	5	5	5#5
3782	5647	0.9900	4	4	4#4
5726	6261	0.9900	2	3	2#3
402	5001	0.9900	4	5	4#5
3911	4617	0.9900	5	2	2#5
3439	4536	0.9900	4	5	4#5
5047	5534	0.9900	1	1	1#1
6741	9634	0.9900	5	2	2#5
6797	8760	0.9900	4	3	3#4
170	4130	0.9900	4	1	1#4
5454	5906	0.9900	5	2	2#5
5027	6355	0.9900	5	4	4#5
8999	9533	0.9900	5	2	2#5
660	7711	0.9900	2	1	1#2
2945	6361	0.9900	2	5	2#5
2545	5008	0.9900	2	5	2#5
5693	8185	0.9900	1	3	1#3
2923	7845	0.9900	4	5	4#5
6176	8101	0.9900	4	4	4#4
1566	2761	0.9900	3	1	1#3
8642	8652	0.9900	4	4	4#4
552	5080	0.9900	2	3	2#3
1370	1450	0.9900	1	2	1#2
726	9473	0.9900	5	1	1#5
706	5628	0.9900	4	2	2#4
3880	4037	0.9900	3	5	3#5
6062	6976	0.9900	3	5	3#5
1509	5249	0.9900	5	2	2#5
872	2161	0.9900	4	2	2#4
7095	8247	0.9900	3	5	3#5
7243	8921	0.9900	5	2	2#5
1918	5041	0.9900	3	1	1#3
346	2211	0.9900	3	5	3#5
5677	6144	0.9900	3	4	3#4
2677	3234	0.9900	1	4	1#4
6804	8598	0.9900	2	5	2#5
347	1498	0.9900	5	2	2#5
2451	5472	0.9900	3	3	3#3
2119	7822	0.9900	3	5	3#5
6332	8987	0.9900	3	1	1#3
4456	8987	0.9900	4	1	1#4
2086	9671	0.9900	4	5	4#5
2288	4142	0.9900	5	4	4#5
3466	8305	0.9900	2	5	2#5
237	5862	0.9900	5	4	4#5
1387	6625	0.9900	3	1	1#3
1398	5130	0.9900	4	4	4#4
967	5654	0.9900	2	5	2#5
1028	5401	0.9900	3	1	1#3
4301	8991	0.9900	3	2	2#3
7663	8362	0.9900	3	5	3#5
504	1436	0.9900	5	1	1#5
1279	6408	0.9900	2	5	2#5
122	749	0.9900	3	2	2#3
5782	9922	0.9900	4	5	4#5
796	5843	0.9900	4	2	2#4
5241	8362	0.9900	5	5	5#5
4632	8362	0.9900	2	5	2#5
236	2814	0.9900	3	3	3#3
2505	7554	0.9900	1	5	1#5
1414	2522	0.9900	1	5	1#5
2592	2763	0.9900	1	5	1#5
884	1895	0.9900	2	3	2#3
5910	8330	0.9900	5	4	4#5
4152	7590	0.9900	2	5	2#5
5704	7580	0.9900	2	1	1#2
4297	8829	0.9900	4	1	1#4
7242	8530	0.9900	2	1	1#2
1622	4864	0.9900	4	5	4#5
5575	5888	0.9900	2	4	2#4
410	8770	0.9900	1	1	1#1
315	2865	0.9900	4	3	3#4
3940	4239	0.9900	5	5	5#5
7501	7658	0.9900	4	3	3#4
22	1196	0.9900	2	4	2#4
556	1343	0.9900	2	1	1#2
8541	9788	0.9900	5	5	5#5
2209	4083	0.9900	2	2	2#2
638	752	0.9900	1	4	1#4
7802	8589	0.9900	1	5	1#5
276	750	0.9900	4	3	3#4
1569	7854	0.9900	3	5	3#5
6455	8955	0.9900	2	5	2#5
536	7880	0.9900	1	3	1#3
5008	5434	0.9900	5	4	4#5
1084	1827	0.9900	1	3	1#3
1818	3831	0.9900	1	5	1#5
1135	3557	0.9900	5	2	2#5
44	354	0.9900	3	5	3#5
2522	7590	0.9900	5	5	5#5
336	2583	0.9900	5	5	5#5
5325	5519	0.9900	3	2	2#3
410	2595	0.9900	1	4	1#4
732	771	0.9900	3	3	3#3
219	1779	0.9900	5	3	3#5
9082	9709	0.9900	4	1	1#4
2396	9856	0.9900	1	1	1#1
5217	5224	0.9900	2	1	1#2
8	631	0.9900	3	3	3#3
3172	8171	0.9900	1	3	1#3
5424	5627	0.9900	1	5	1#5
792	2660	0.9900	1	5	1#5
9064	9147	0.9900	4	5	4#5
3932	4545	0.9900	4	1	1#4
2348	4545	0.9900	5	1	1#5
450	2333	0.9900	2	3	2#3
772	3174	0.9900	2	2	2#2
4018	4516	0.9900	1	4	1#4
241	2448	0.9900	4	3	3#4
2563	3784	0.9900	4	3	3#4
678	3060	0.9900	1	3	1#3
2192	7975	0.9900	5	1	1#5
958	2207	0.9900	2	4	2#4
3829	9807	0.9900	3	5	3#5
